"website_id","session_id","visit_id","event_id","hostname","browser","os","device","screen","language","country","region","city","url_path","url_query","utm_source","utm_medium","utm_campaign","utm_content","utm_term","referrer_path","referrer_query","referrer_domain","page_title","gclid","fbclid","msclkid","ttclid","li_fat_id","twclid","event_type","event_name","tag","distinct_id","created_at","job_id"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","de94e63f-1b73-56c0-9c21-1d1a5fad0421","6162800f-1938-4fc5-b551-8ee7d52609d8","19a47fb3-3195-4d8c-8286-f89cc801b6fe","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/popular-areas/khilgaon","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 17:14:37","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","de94e63f-1b73-56c0-9c21-1d1a5fad0421","6162800f-1938-4fc5-b551-8ee7d52609d8","997bf460-3670-4301-bb5a-b4afeb383dcd","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/popular-areas/khilgaon","","","","","","","/popular-areas/khilgaon/cafe-park-khilgaon","","","","","","","","","",1,"","","","2023-04-26 17:14:53","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","febfff51-2b36-5a9c-932f-27e12377d622","b7deef63-98fb-4087-8f99-d19695d6b96c","645227c9-2756-4d41-94a2-e424518e6987","dev.offerkhao.com","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/popular-areas/khilgaon/cafe-park-khilgaon","","","","","","","/popular-areas/khilgaon","","","","","","","","","",1,"","","","2023-04-26 17:10:27","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","de94e63f-1b73-56c0-9c21-1d1a5fad0421","6162800f-1938-4fc5-b551-8ee7d52609d8","ef129fb5-bfc7-435d-b74e-3b5abe2e8b06","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/popular-areas/khilgaon/cafe-park-khilgaon","","","","","","","/popular-areas/khilgaon","","","","","","","","","",1,"","","","2023-04-26 17:14:40","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","a35bb492-485b-4162-99a8-93ae6069e70f","9e82bb3e-c481-42cc-a090-720714ff4030","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/mirpur","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 16:52:56","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","a35bb492-485b-4162-99a8-93ae6069e70f","37c9d9a7-c313-4032-92eb-2aee5974f383","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/wari","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 16:20:28","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","a35bb492-485b-4162-99a8-93ae6069e70f","3165533c-ed24-4094-bc28-3188dae947f6","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/wari","","","","","","","/popular-areas/wari/burger-xpress-~-wari","","","","","","","","","",1,"","","","2023-04-26 16:20:51","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","f8c2cdd6-acac-40f1-9b42-ae84164971c5","9230587d-05d9-4a6b-909a-68e068a768fc","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/wari","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 17:03:12","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","a35bb492-485b-4162-99a8-93ae6069e70f","6d6fbdc6-a36a-4021-8d60-bd78cc8258ac","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/wari/burger-xpress-~-wari","","","","","","","/popular-areas/wari","","","","","","","","","",1,"","","","2023-04-26 16:20:31","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","a35bb492-485b-4162-99a8-93ae6069e70f","e31d5f85-d2af-4f3a-90b7-af7b1b3ced9e","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/wari/burger-xpress-~-wari","","","","","","","/popular-areas/wari","","","","","","","","","",1,"","","","2023-04-26 16:20:37","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","976a01c6-ed81-4e8d-a1b0-fa890a3e5bd3","87de9cf6-1b45-4ed3-b4e8-90d0a0300c13","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/","","","","","","","","","","","","","","","","",1,"","","","2023-04-27 13:57:11","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","dde36a71-309e-42e6-a817-d77e1aadbc0d","f603b91e-8802-46d9-a4e1-1ed52ffbeb69","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/","","","","","","","/popular-areas/mirpur","","","","","","","","","",1,"","","","2023-04-27 14:00:34","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","dde36a71-309e-42e6-a817-d77e1aadbc0d","66f926e0-349f-4dc5-b224-4cbfe7f554d1","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/","","","","","","","/","","localhost","","","","","","","",1,"","","","2023-04-27 14:26:55","00000000-0000-0000-0000-000000000000"
